No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
294,ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,8.958.380.460,Pemantauan Khusus
295,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,Utama
296,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,1.277.992.036,Pengembangan
297,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.691.137.517,Utama
298,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,2.894.201.693,Pengembangan
299,AUTO,Astra Otoparts Tbk.,15 Jun 1998,4.819.733.000,Utama
300,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,44.014.333.126,Pengembangan
301,BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,19.753.494.636,Utama
302,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1.800.000.000,Pengembangan
303,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,3.934.592.500,Utama
304,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,661.784.520,Pengembangan
305,BATA,Sepatu Bata Tbk.,24 Mar 1982,1.300.000.000,Pemantauan Khusus
306,BAYU,Bayu Buana Tbk,30 Okt 1989,353.220.780,Utama
307,BBCA,Bank Central Asia Tbk.,31 Mei 2000,122.042.299.500,Utama
308,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,21.512.953.877,Utama
309,BBKP,Bank KB Indonesia Tbk.,10 Jul 2006,185.819.884.852,Pengembangan
310,BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,Pengembangan
311,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,Utama
312,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,36.924.339.786,Utama
313,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,150.043.411.587,Utama
314,BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,8.479.490.328,Pengembangan
315,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,13.894.099.969,Utama
316,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,13.216.977.523,Utama
317,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,42.618.850.927,Utama
318,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,17.926.071.041,Pengembangan
319,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,1.429.915.525,Pengembangan
320,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,9.675.817.341,Utama
321,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,51.351.733.883,Pemantauan Khusus
322,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,9.647.311.150,Utama
323,BFIN,BFI Finance  Indonesia Tbk.,16 Mei 1990,15.039.383.620,Utama
324,BGTG,Bank Ganesha Tbk.,12 Mei 2016,23.731.287.132,Utama
325,BHIT,MNC Asia Holding Tbk.,24 Nov 1997,86.068.156.705,Pemantauan Khusus
326,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,592.280.000,Pemantauan Khusus
327,BIMA,Primarindo Asia Infrastructure,30 Agt 1994,608.175.716,Pemantauan Khusus
328,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,6.073.369.498,Utama
329,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,63.710.196.917,Pengembangan
330,BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,5.028.669.376,Pengembangan
331,BIRD,Blue Bird Tbk.,05 Nov 2014,2.502.100.000,Utama
332,BISI,BISI International Tbk.,28 Mei 2007,3.000.000.000,Utama
333,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,10.416.229.249,Utama
334,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,14.865.343.101,Utama
335,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,7.513.992.252,Pengembangan
336,BKSL,Sentul City Tbk.,28 Jul 1997,167.708.902.705,Utama
337,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,34.806.467.881,Pengembangan
338,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,25.940.187.103,Pemantauan Khusus
339,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,873.937.142,Pemantauan Khusus
340,BMAS,Bank Kasikorn Indonesia Tbk.,11 Jul 2013,17.921.635.680,Pengembangan
341,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,92.399.999.996,Utama
342,BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,1.159.200.024,Pengembangan
343,BMTR,Global Mediacom Tbk.,17 Jul 1995,16.583.997.586,Utama
344,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,3.354.120.000,Pengembangan
345,BNBR,Bakrie & Brothers Tbk,28 Agt 1989,263.336.671.587,Pengembangan
346,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,24.890.783.784,Utama
347,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,75.357.433.911,Utama
348,BNLI,Bank Permata Tbk.,15 Jan 1990,35.819.545.925,Utama
349,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,2.343.750.000,Pengembangan
350,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,2.673.995.362,Pengembangan
351,BPII,Batavia Prosperindo Internasio,08 Jul 2014,9.884.153.240,Pengembangan
352,BRAM,Indo Kordsa Tbk.,05 Sep 1990,450.056.980,Pengembangan
353,BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,141.784.040.338,Utama
354,BRNA,Berlina Tbk.,06 Nov 1989,979.110.000,Pengembangan
355,BRPT,Barito Pacific Tbk.,01 Okt 1993,93.747.218.044,Utama
356,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,21.171.365.812,Utama
357,BSIM,Bank Sinarmas Tbk.,13 Des 2010,19.517.921.842,Utama
358,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,2.616.500.000,Utama
359,BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,3.651.978.177,Pemantauan Khusus
360,BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,46.277.496.376,Pemantauan Khusus
361,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,61.847.903.535,Pemantauan Khusus
362,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,720.000.000,Pengembangan
363,BTPN,Bank SMBC Indonesia Tbk.,12 Mar 2008,10.536.203.690,Utama
364,BUDI,Budi Starch & Sweetener Tbk.,08 Mei 1995,4.498.997.362,Utama
365,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,2.640.452.000,Pengembangan
366,BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,15.494.436.593,Pengembangan
367,BUMI,Bumi Resources Tbk.,30 Jul 1990,371.335.392.068,Utama
368,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,24.617.054.642,Pengembangan
369,BVIC,Bank Victoria International Tb,30 Jun 1999,18.235.266.754,Utama
370,BWPT,Eagle High Plantations Tbk.,27 Okt 2009,31.525.291.000,Utama
371,BYAN,Bayan Resources Tbk.,12 Agt 2008,33.333.335.000,Utama
372,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,833.440.000,Pemantauan Khusus
373,CASS,Cahaya Aero Services Tbk.,05 Des 2011,2.086.950.000,Utama
374,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,595.000.000,Pengembangan
375,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,31.183.464.900,Pengembangan
376,CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,3.984.520.457,Utama
377,CINT,Chitose Internasional Tbk.,27 Jun 2014,1.000.000.000,Pengembangan
378,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,3.960.361.250,Utama
379,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,306.338.500,Pengembangan
380,CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,6.696.354.391,Utama
381,CMPP,AirAsia Indonesia Tbk.,08 Des 1994,10.685.124.441,Pemantauan Khusus
382,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,8.956.361.206,Pemantauan Khusus
383,COWL,Cowell Development Tbk.,19 Des 2007,4.871.214.021,Pemantauan Khusus
384,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,16.398.000.000,Utama
385,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,59.572.382.787,Pengembangan
386,CSAP,Catur Sentosa Adiprana Tbk.,12 Des 2007,5.683.175.151,Pengembangan
387,CTBN,Citra Tubindo Tbk.,28 Nov 1989,800.371.500,Pengembangan
388,CTRA,Ciputra Development Tbk.,28 Mar 1994,18.535.695.255,Utama
389,CTTH,Citatah Tbk.,03 Jul 1996,1.230.839.821,Pengembangan
390,DART,Duta Anggada Realty Tbk.,08 Mei 1990,3.141.390.962,Pengembangan
391,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,687.266.666,Pengembangan
392,DEWA,Darma Henwa Tbk,26 Sep 2007,40.687.434.244,Utama
393,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,5.541.165.000,Pengembangan
394,DILD,Intiland Development Tbk.,04 Sep 1991,10.365.854.185,Utama
395,DKFT,Central Omega Resources Tbk.,21 Nov 1997,5.638.246.600,Utama
396,DLTA,Delta Djakarta Tbk.,27 Feb 1984,800.659.050,Utama
397,DMAS,Puradelta Lestari Tbk.,29 Mei 2015,48.198.111.100,Utama
398,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,16.721.891.185,Pengembangan
399,DNET,Indoritel Makmur Internasional,11 Des 2000,14.184.000.000,Utama
400,DOID,BUMA Internasional Grup Tbk.,15 Jun 2001,7.651.007.132,Pengembangan
401,DPNS,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,331.129.952,Pemantauan Khusus
402,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,1.857.135.500,Pengembangan
403,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,10.599.842.400,Utama
404,DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009,192.638.080.000,Utama
405,DUTI,Duta Pertiwi Tbk,02 Nov 1994,1.850.000.000,Pemantauan Khusus
406,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,1.120.000.000,Pengembangan
407,DYAN,Dyandra Media International Tb,25 Mar 2013,4.272.964.279,Pengembangan
408,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,1.334.333.000,Pengembangan
409,EKAD,Ekadharma International Tbk.,14 Agt 1990,3.493.875.000,Pengembangan
410,ELSA,Elnusa Tbk.,06 Feb 2008,7.298.500.000,Utama
411,ELTY,Bakrieland Development Tbk.,30 Okt 1995,43.521.913.019,Pemantauan Khusus
412,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,3.350.000.000,Pengembangan
413,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,61.426.451.483,Utama
414,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,26.564.543.750,Utama
415,EPMT,Enseval Putera Megatrading Tbk,01 Agt 1994,2.708.640.000,Utama
416,ERAA,Erajaya Swasembada Tbk.,14 Des 2011,15.950.000.000,Utama
417,ERTX,Eratex Djaja Tbk.,21 Agt 1990,1.286.539.792,Pengembangan
418,ESSA,ESSA Industries Indonesia Tbk.,01 Feb 2012,17.226.975.700,Utama
419,ESTI,Ever Shine Tex Tbk.,13 Okt 1992,2.015.208.720,Pengembangan
420,ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,4.668.671.400,Pemantauan Khusus
421,EXCL,XLSMART Telecom Sejahtera Tbk.,29 Sep 2005,18.199.862.451,Utama
422,FAST,Fast Food Indonesia Tbk.,11 Mei 1993,4.523.610.492,Pengembangan
423,FASW,Fajar Surya Wisesa Tbk.,19 Des 1994,3.221.255.423,Pemantauan Khusus
424,FISH,FKS Multi Agro Tbk.,18 Jan 2002,4.800.000.000,Utama
425,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,6.400.000.000,Pengembangan
426,FORU,Fortune Indonesia Tbk,17 Jan 2002,465.224.000,Pengembangan
427,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,5.566.414.000,Pengembangan
428,GAMA,Aksara Global Development Tbk.,11 Jul 2012,10.011.027.656,Pemantauan Khusus
429,GDST,Gunawan Dianjaya Steel Tbk.,23 Des 2009,9.242.500.000,Pengembangan
430,GDYR,Goodyear Indonesia Tbk.,22 Des 1980,410.000.000,Pengembangan
431,GEMA,Gema Grahasarana Tbk.,12 Agt 2002,1.600.000.000,Pengembangan
432,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,5.882.353.000,Utama
433,GGRM,Gudang Garam Tbk.,27 Agt 1990,1.924.088.000,Utama
434,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,407.091.703.837,Pengembangan
435,GJTL,Gajah Tunggal Tbk.,08 Mei 1990,3.484.800.000,Utama
436,GLOB,Globe Kita Terang Tbk.,10 Jul 2012,1.111.112.000,Pemantauan Khusus
437,GMTD,Gowa Makassar Tourism Developm,11 Des 2000,1.015.380.000,Pengembangan
438,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,1.277.276.000,Pengembangan
439,GOLL,Golden Plantation Tbk.,23 Des 2014,3.665.000.759,Pemantauan Khusus
440,GPRA,Perdana Gapuraprima Tbk.,10 Okt 2007,4.276.655.336,Pengembangan
441,GSMF,Equity Development Investment ,23 Okt 1989,15.456.814.805,Pengembangan
442,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,2.500.000.000,Pemantauan Khusus
443,GWSA,Greenwood Sejahtera Tbk.,23 Des 2011,7.800.760.000,Pengembangan
444,GZCO,Gozco Plantations Tbk.,15 Mei 2008,6.000.000.000,Utama
445,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,2.120.000.000,Pemantauan Khusus
446,HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,6.542.445.783,Pengembangan
447,HERO,DFI Retail Nusantara Tbk.,21 Agt 1989,4.183.634.000,Utama
448,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,840.000.000,Utama
449,HITS,Humpuss Intermoda Transportasi,15 Des 1997,7.101.084.801,Pemantauan Khusus
450,HMSP,H.M. Sampoerna Tbk.,15 Agt 1990,116.318.076.900,Utama
451,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,22.212.194.782,Pemantauan Khusus
452,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,3.550.001.452,Pemantauan Khusus
453,HRUM,Harum Energy Tbk.,06 Okt 2010,13.518.100.000,Utama
454,IATA,Karya Pacific Energy Tbk.,13 Sep 2006,31.275.829.981,Pengembangan
455,IBFN,Intan Baru Prana Tbk.,22 Des 2014,1.517.332.349,Pemantauan Khusus
456,IBST,Inti Bangun Sejahtera Tbk.,31 Agt 2012,1.350.904.927,Pemantauan Khusus
457,ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010,11.661.908.000,Utama
458,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,1.089.750.000,Pengembangan
459,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,927.780.600,Pengembangan
460,IIKP,Inti Agri Resources Tbk,14 Okt 2002,33.600.000.000,Pemantauan Khusus
461,IKAI,Intikeramik Alamasri Industri ,04 Jun 1997,13.305.799.387,Pemantauan Khusus
462,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,1.224.000.000,Pengembangan
463,IMAS,Indomobil Sukses Internasional,15 Nov 1993,3.994.291.039,Utama
464,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,10.849.262.500,Pengembangan
465,IMPC,Impack Pratama Industri Tbk.,17 Des 2014,54.907.000.000,Utama
466,INAF,Indofarma Tbk.,17 Apr 2001,3.099.267.500,Pemantauan Khusus
467,INAI,Indal Aluminium Industry Tbk.,05 Des 1994,633.600.000,Pengembangan
468,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,207.656.617,Pengembangan
469,INCO,Vale Indonesia Tbk.,16 Mei 1990,10.539.784.534,Utama
470,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,8.780.426.500,Utama
471,INDR,Indo-Rama Synthetics Tbk.,03 Agt 1990,654.351.707,Pengembangan
472,INDS,Indospring Tbk.,10 Agt 1990,6.562.497.100,Pengembangan
473,INDX,Tanah Laut Tbk,17 Mei 2001,437.913.588,Pengembangan
474,INDY,Indika Energy Tbk.,11 Jun 2008,5.210.192.000,Utama
475,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,5.470.982.941,Utama
476,INPC,Bank Artha Graha Internasional,23 Agt 1990,20.021.178.779,Utama
477,INPP,Indonesian Paradise Property T,12 Jan 2004,11.181.971.732,Pengembangan
478,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,1.388.883.283,Pemantauan Khusus
479,INTA,Intraco Penta Tbk.,23 Agt 1993,3.343.935.022,Pemantauan Khusus
480,INTD,Inter Delta Tbk,18 Des 1989,591.828.000,Pengembangan
481,INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,3.431.073.399,Utama
482,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,6.443.379.509,Pengembangan
483,ISAT,Indosat Tbk.,19 Okt 1994,32.250.810.957,Utama
484,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,7.185.992.035,Utama
485,ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,999.053.167,Pengembangan
486,ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1.129.925.000,Utama
487,JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,16.232.951.842,Pengembangan
488,JECC,Jembo Cable Company Tbk.,18 Nov 1992,756.000.000,Pengembangan
489,JIHD,Jakarta International Hotels &,29 Feb 1984,2.329.040.482,Utama
490,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16.308.519.860,Utama
491,JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,11.726.575.201,Utama
492,JRPT,Jaya Real Property Tbk.,29 Jun 1994,12.910.719.100,Utama
493,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,7.257.871.200,Utama
494,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,2.318.736.000,Utama
495,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,6.852.050.000,Utama
496,KAEF,Kimia Farma (Persero) Tbk.,04 Jul 2001,5.566.589.677,Pengembangan
497,KARW,Meratus Jasa Prima Tbk.,20 Des 1994,587.152.700,Pemantauan Khusus
498,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,4.007.235.107,Utama
499,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,Pengembangan
500,KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,Pengembangan
501,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,8.687.995.734,Pemantauan Khusus
502,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,1.620.000.000,Pengembangan
503,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,Pemantauan Khusus
504,KICI,Kedaung Indah Can Tbk,28 Okt 1993,276.000.000,Pengembangan
505,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,Utama
506,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,5.000.000.000,Utama
507,KLBF,Kalbe Farma Tbk.,30 Jul 1991,46.813.391.540,Utama
508,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,Pengembangan
509,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,Pemantauan Khusus
510,KONI,Perdana Bangun Pusaka Tbk,22 Agt 1995,312.000.000,Pengembangan
511,KOPI,Mitra Energi Persada Tbk.,04 Mei 2015,697.266.668,Pengembangan
512,KPIG,MNC Tourism Indonesia Tbk.,30 Mar 2000,107.312.842.189,Utama
513,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,19.346.396.900,Pengembangan
514,KREN,Quantum Clovera Investama Tbk.,28 Jun 2002,18.208.470.100,Pemantauan Khusus
515,LAPD,Leyand International Tbk.,17 Jul 2001,3.966.350.139,Pengembangan
516,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,5.630.000.914,Pemantauan Khusus
517,LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,5.799.616.328,Pengembangan
518,LINK,Link Net Tbk.,02 Jun 2014,2.863.195.484,Pengembangan
519,LION,Lion Metal Works Tbk.,20 Agt 1993,520.160.000,Pengembangan
520,LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,787.851.525,Pemantauan Khusus
521,LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,1.008.517.669,Pengembangan
522,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,96.000.000,Pemantauan Khusus
523,LPCK,Lippo Cikarang Tbk,24 Jul 1997,5.134.685.692,Utama
524,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,3.000.000.000,Pengembangan
525,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,425.000.000,Pengembangan
526,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,70.898.018.369,Utama
527,LPLI,Star Pacific Tbk,23 Okt 1989,1.170.432.803,Pengembangan
528,LPPF,MDS Retailing Tbk.,09 Okt 1989,2.227.279.280,Utama
529,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,2.588.250.000,Pengembangan
530,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,Pengembangan
531,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,6.819.963.965,Utama
532,LTLS,Lautan Luas Tbk.,21 Jul 1997,1.560.000.000,Utama
533,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,9.000.000.004,Pemantauan Khusus
534,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,2.238.750.000,Utama
535,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,16.600.000.000,Utama
536,MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,25.906.179.152,Utama
537,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,1.227.271.952,Pengembangan
538,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,1.750.026.639,Utama
539,MBTO,Martina Berto Tbk.,13 Jan 2011,1.070.000.000,Pengembangan
540,MCOR,Bank China Construction Bank I,03 Jul 2007,37.540.533.209,Utama
541,MDIA,Intermedia Capital Tbk.,11 Apr 2014,39.215.538.400,Pengembangan
542,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,24.472.983.771,Utama
543,MDLN,Modernland Realty Tbk.,18 Jan 1993,12.533.067.322,Pengembangan
544,MDRN,Modern Internasional Tbk.,16 Jul 1991,7.632.167.798,Pemantauan Khusus
545,MEDC,Medco Energi Internasional Tbk,12 Okt 1994,25.136.231.252,Utama
546,MEGA,Bank Mega Tbk.,17 Apr 2000,23.247.028.262,Utama
547,MERK,Merck Tbk.,23 Jul 1981,448.000.000,Utama
548,META,Nusantara Infrastructure Tbk.,18 Jul 2001,17.710.708.194,Pengembangan
549,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,Pemantauan Khusus
550,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,3.411.124.935,Pengembangan
551,MICE,Multi Indocitra Tbk.,21 Des 2005,600.000.000,Pengembangan
552,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,33.435.294.800,Utama
553,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,13.907.481.500,Utama
554,MIRA,Mitra International Resources ,30 Jan 1997,3.961.452.039,Pemantauan Khusus
555,MITI,Mitra Investindo Tbk.,16 Jul 1997,3.750.526.603,Pengembangan
556,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,Pengembangan
557,MLBI,Multi Bintang Indonesia Tbk.,15 Des 1981,2.107.000.000,Utama
558,MLIA,Mulia Industrindo Tbk,17 Jan 1994,6.615.000.000,Pemantauan Khusus
559,MLPL,Multipolar Tbk.,06 Nov 1989,15.682.323.987,Utama
560,MLPT,Multipolar Technology Tbk.,08 Jul 2013,46.875.000.000,Pengembangan
561,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,Pengembangan
562,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,15.049.787.710,Utama
563,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.386.963.276,Utama
564,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,33.828.872.408,Pemantauan Khusus
565,MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,Pengembangan
566,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,517.791.681,Pengembangan
567,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.994.370.480,Pengembangan
568,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,12.276.884.585,Utama
569,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,31.842.082.852,Pemantauan Khusus
570,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,Utama
571,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,Pemantauan Khusus
572,MYOH,Samindo Resources Tbk.,27 Jul 2000,2.206.312.500,Pengembangan
573,MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,Utama
574,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,7.747.281.949,Pemantauan Khusus
575,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan
576,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,Pengembangan
577,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,Pengembangan
578,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,Utama
579,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,7.403.659.460,Utama
580,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,Pengembangan
581,OCAP,Onix Capital Tbk.,10 Okt 2003,273.200.000,Pemantauan Khusus
582,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,2.373.449.165,Pengembangan
583,OMRE,Indonesia Prima Property Tbk,22 Agt 1994,2.945.211.000,Pengembangan
584,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,13.568.695.829,Utama
585,PALM,Provident Investasi Bersama Tb,08 Okt 2012,15.732.874.458,Utama
586,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,1.387.500.000,Pengembangan
587,PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama
588,PBRX,Pan Brothers Tbk.,16 Agt 1990,21.482.028.246,Pemantauan Khusus
589,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,Pengembangan
590,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,3.777.889.408,Pengembangan
591,PGAS,Perusahaan Gas Negara (Persero,15 Des 2003,24.241.508.196,Utama
592,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,488.000.000,Pengembangan
593,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,Pengembangan
594,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,Pengembangan
595,PKPK,Paragon Karya Perkasa Tbk.,11 Jul 2007,1.200.000.000,Pengembangan
596,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,Pemantauan Khusus
597,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,Pemantauan Khusus
598,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,Utama
